4.0	3.0	100.0
7.0	6.0	100.0
10.0	9.0	100.0
13.0	12.0	100.0
16.0	15.0	100.0
19.0	18.0	100.0
22.0	21.0	100.0
25.0	24.0	100.0
28.0	27.0	100.0
31.0	30.0	100.0
34.0	33.0	100.0
37.0	36.0	100.0
40.0	39.0	100.0
43.0	42.0	100.0
46.0	45.0	100.0
49.0	48.0	100.0
52.0	51.0	100.0
55.0	54.0	100.0
58.0	57.0	100.0
61.0	60.0	100.0
64.0	63.0	100.0
67.0	66.0	100.0
70.0	69.0	100.0
73.0	72.0	100.0
76.0	75.0	100.0
79.0	78.0	100.0
82.0	81.0	100.0
85.0	84.0	100.0
88.0	87.0	100.0
91.0	90.0	100.0
94.0	93.0	100.0
97.0	96.0	100.0
100.0	99.0	100.0
103.0	102.0	100.0
106.0	105.0	100.0
109.0	108.0	100.0
112.0	111.0	100.0
115.0	114.0	100.0
118.0	117.0	100.0
121.0	120.0	100.0
124.0	123.0	100.0
127.0	126.0	100.0
130.0	129.0	100.0
133.0	132.0	100.0
136.0	135.0	100.0
139.0	138.0	100.0
142.0	141.0	100.0
145.0	144.0	100.0
148.0	147.0	100.0
151.0	150.0	100.0
154.0	153.0	100.0
157.0	156.0	100.0
160.0	159.0	100.0
163.0	162.0	100.0
166.0	165.0	100.0
169.0	168.0	100.0
172.0	171.0	100.0
175.0	174.0	100.0
178.0	177.0	100.0
181.0	180.0	100.0
184.0	183.0	100.0
187.0	186.0	100.0
190.0	189.0	100.0
193.0	192.0	100.0
196.0	195.0	100.0
199.0	198.0	100.0
202.0	201.0	100.0
205.0	204.0	100.0
208.0	207.0	100.0
211.0	210.0	100.0
214.0	213.0	100.0
217.0	216.0	100.0
220.0	219.0	100.0
223.0	222.0	100.0
226.0	225.0	100.0
229.0	228.0	100.0
232.0	231.0	100.0
235.0	234.0	100.0
238.0	237.0	100.0
241.0	240.0	100.0
244.0	243.0	100.0
247.0	246.0	100.0
250.0	249.0	100.0
253.0	252.0	100.0
256.0	255.0	100.0
259.0	258.0	100.0
262.0	261.0	100.0
265.0	264.0	100.0
268.0	267.0	100.0
271.0	270.0	100.0
274.0	273.0	100.0
277.0	276.0	100.0
280.0	279.0	100.0
283.0	282.0	100.0
286.0	285.0	100.0
289.0	288.0	100.0
292.0	291.0	100.0
295.0	294.0	100.0
298.0	297.0	100.0
301.0	300.0	100.0
304.0	303.0	100.0
307.0	306.0	100.0
310.0	309.0	100.0
313.0	312.0	100.0
316.0	315.0	100.0
319.0	318.0	100.0
322.0	321.0	100.0
